Scheme Name	Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	107.4577
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	117.9647
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	104.6313
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	150.9577
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	113.7682
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	102.5967
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	113.5468
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	103.7187
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	367.5211
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	551.6985
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	381.412
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1035.2354
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2722.5661
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1033.9585
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1035.0629
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1035.1000
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2640.3778
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1033.7282
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1034.9495
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	10.9721
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.5410
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.4391
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.4391
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.5410
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9025
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12.3379
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10.4579
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10.4499
BANDHAN Banking & PSU Debt Fund - Direct Growth	25.3762
BANDHAN Banking & PSU Debt Fund - Direct IDCW	13.3486
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10.4357
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	11.1666
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11.3590
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10.8576
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW	10.6050
BANDHAN Banking & PSU Debt Fund - Regular Growth	24.6589
BANDHAN Banking & PSU Debt Fund - Regular IDCW	13.3157
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW	10.6778
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW	11.0596
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.5397
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	12.9581
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.7049
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	12.6774
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.3751
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.4827
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.1785
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	11.0093
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.0758
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.9229
DSP Banking & PSU Debt Fund - Direct Plan - Growth	24.9614
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.5267
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1298
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.3301
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly 	10.5329
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1312
DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.1073
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.5179
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1285
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.3177
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly 	10.5215
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1299
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	25.6004
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.907
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.5002
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.8855
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5203
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	24.7075
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	18.0666
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.0341
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1269
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1144
Franklin India Banking & PSU Debt Fund - Direct - Growth	23.4827
Franklin India Banking & PSU Debt Fund - Growth	22.4797
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	11.4596
Franklin India Banking and PSU Debt Fund - IDCW 	10.8439
HDFC Banking and PSU Debt Fund - Growth Option	23.0603
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.0089
HDFC Banking and PSU Debt Fund - IDCW Option	10.2447
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	9.9905
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1404
HSBC Banking and PSU Debt Fund - Direct Growth	25.595
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.4087
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.329
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.0641
HSBC Banking and PSU Debt Fund - Regular Growth	24.3008
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6815
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3006
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
